race_id,gp_year,gp_name,gp_round,driver_name,constructor,constructor_ref,is_williams,start_position,final_position,grid_delta
1029,2019,Brazilian Grand Prix,20,George Russell,Williams,williams,True,18,12,6
1019,2019,British Grand Prix,10,George Russell,Williams,williams,True,19,14,5
1023,2019,Italian Grand Prix,14,George Russell,Williams,williams,True,14,14,0
1015,2019,Monaco Grand Prix,6,George Russell,Williams,williams,True,19,15,4
1019,2019,British Grand Prix,10,Robert Kubica,Williams,williams,True,20,15,5
1022,2019,Belgian Grand Prix,13,George Russell,Williams,williams,True,14,15,-1
1021,2019,Hungarian Grand Prix,12,George Russell,Williams,williams,True,15,16,-1
1024,2019,Singapore Grand Prix,15,Robert Kubica,Williams,williams,True,19,16,3
1026,2019,Japanese Grand Prix,17,George Russell,Williams,williams,True,18,16,2
1029,2019,Brazilian Grand Prix,20,Robert Kubica,Williams,williams,True,19,16,3
1014,2019,Spanish Grand Prix,5,George Russell,Williams,williams,True,19,17,2
1023,2019,Italian Grand Prix,14,Robert Kubica,Williams,williams,True,15,17,-2
1014,2019,Spanish Grand Prix,5,Robert Kubica,Williams,williams,True,17,18,-1
1015,2019,Monaco Grand Prix,6,Robert Kubica,Williams,williams,True,20,18,2
1021,2019,Hungarian Grand Prix,12,Robert Kubica,Williams,williams,True,19,19,0
1018,2019,Austrian Grand Prix,9,Robert Kubica,Williams,williams,True,17,20,-3
1014,2019,Spanish Grand Prix,5,Daniel Ricciardo,Renault,renault,False,13,12,1
1018,2019,Austrian Grand Prix,9,Daniel Ricciardo,Renault,renault,False,12,12,0
1021,2019,Hungarian Grand Prix,12,Daniel Ricciardo,Renault,renault,False,20,14,6
1022,2019,Belgian Grand Prix,13,Daniel Ricciardo,Renault,renault,False,10,14,-4
1024,2019,Singapore Grand Prix,15,Daniel Ricciardo,Renault,renault,False,20,14,6
1023,2019,Italian Grand Prix,14,Daniel Ricciardo,Renault,renault,False,5,4,1
1029,2019,Brazilian Grand Prix,20,Daniel Ricciardo,Renault,renault,False,11,6,5
1019,2019,British Grand Prix,10,Daniel Ricciardo,Renault,renault,False,7,7,0
1015,2019,Monaco Grand Prix,6,Daniel Ricciardo,Renault,renault,False,6,9,-3
973,2017,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,haas,False,14,10,4
1000,2018,Hungarian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,10,10,0
1014,2019,Spanish Grand Prix,5,Romain Grosjean,Haas F1 Team,haas,False,7,10,-3
1015,2019,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,13,10,3
961,2016,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,17,11,6
964,2016,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,7,11,-4
1024,2019,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,17,11,6
953,2016,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,15,13,2
960,2016,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,11,13,-2
978,2017,British Grand Prix,10,Romain Grosjean,Haas F1 Team,haas,False,10,13,-3
1022,2019,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,9,13,-4
1026,2019,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,10,13,-3
1029,2019,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,haas,False,7,13,-6
958,2016,Hungarian Grand Prix,11,Romain Grosjean,Haas F1 Team,haas,False,11,14,-3
981,2017,Italian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,20,15,5
987,2017,Brazilian Grand Prix,19,Romain Grosjean,Haas F1 Team,haas,False,11,15,-4
994,2018,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,18,15,3
1003,2018,Singapore Grand Prix,15,Romain Grosjean,Haas F1 Team,haas,False,8,15,-7
1018,2019,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,11,16,-5
1023,2019,Italian Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,13,16,-3
997,2018,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,5,4,1
977,2017,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,6,6,0
956,2016,Austrian Grand Prix,9,Romain Grosjean,Haas F1 Team,haas,False,13,7,6
980,2017,Belgian Grand Prix,12,Romain Grosjean,Haas F1 Team,haas,False,11,7,4
1001,2018,Belgian Grand Prix,13,Romain Grosjean,Haas F1 Team,haas,False,5,7,-2
974,2017,Monaco Grand Prix,6,Romain Grosjean,Haas F1 Team,haas,False,8,8,0
1005,2018,Japanese Grand Prix,17,Romain Grosjean,Haas F1 Team,haas,False,5,8,-3
1008,2018,Brazilian Grand Prix,20,Romain Grosjean,Haas F1 Team,haas,False,8,8,0
982,2017,Singapore Grand Prix,14,Romain Grosjean,Haas F1 Team,haas,False,15,9,6
984,2017,Japanese Grand Prix,16,Romain Grosjean,Haas F1 Team,haas,False,13,9,4
998,2018,British Grand Prix,10,Sergio Pérez,Force India,force_india,False,12,10,2
1008,2018,Brazilian Grand Prix,20,Sergio Pérez,Force India,force_india,False,12,10,2
958,2016,Hungarian Grand Prix,11,Sergio Pérez,Force India,force_india,False,13,11,2
1018,2019,Austrian Grand Prix,9,Sergio Pérez,Racing Point,racing_point,False,13,11,2
1021,2019,Hungarian Grand Prix,12,Sergio Pérez,Racing Point,racing_point,False,16,11,5
940,2015,Japanese Grand Prix,14,Sergio Pérez,Force India,force_india,False,9,12,-3
944,2015,Brazilian Grand Prix,18,Sergio Pérez,Force India,force_india,False,11,12,-1
994,2018,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,9,12,-3
1015,2019,Monaco Grand Prix,6,Sergio Pérez,Racing Point,racing_point,False,16,12,4
930,2015,Spanish Grand Prix,5,Sergio Pérez,Force India,force_india,False,18,13,5
974,2017,Monaco Grand Prix,6,Sergio Pérez,Force India,force_india,False,7,13,-6
1000,2018,Hungarian Grand Prix,12,Sergio Pérez,Force India,force_india,False,19,14,5
1014,2019,Spanish Grand Prix,5,Sergio Pérez,Racing Point,racing_point,False,15,15,0
1003,2018,Singapore Grand Prix,15,Sergio Pérez,Force India,force_india,False,7,16,-9
